Job Title,Company,Date,Type,Location,Skills,Job Link
MIS Risk Analyst,Al Ahly capital holding,posted 26 days ago,Full Time,"Zamalek, Cairo","Banking, Analyst/Research, Analysis, Data Analysis, Computer Science, Banking, Risk, Management, information system, business, Risk Management",http://wuzzuf.net/jobs/p/au4yimf7xeg3-mis-risk-analyst-al-ahly-capital-holding-al-ahly-tamkeen-cairo-egypt
Junior Data Analyst,Wadi Group,posted 1 month ago,Full Time,"Sheikh Zayed, Giza","Full Time, Data Analysis, Data Analytics, Statistical Analysis, Planning, Organizing, Communication, Critical thinking, Report writing",http://wuzzuf.net/jobs/p/deipudnut5wh-junior-data-analyst-wadi-group-giza-egypt
Sales Analyst,Kgroup,posted 1 month ago,Full Time,"Nasr City, Cairo","IT/Software Development, Analyst/Research, Sales/Retail, Microsoft Excel, Power BI, Tableau, CRM Systems, ERP Systems, SQL, Data Analysis & Interpretation, Sales Performance Tracking, Reporting & Dashboard Creation, Forecasting & Trend Analysis, Business Acumen, Attention to Detail, Communication & Presentation Skills",http://wuzzuf.net/jobs/p/v4ndkdczclfl-sales-analyst-kgroup-cairo-egypt
Senior Data Analyst,Al Ahly capital holding,posted 2 months ago,Full Time,"Zamalek, Cairo","IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Microsoft SQL, SQL, Power BI",http://wuzzuf.net/jobs/p/pdbhnhmsyty2-senior-data-analyst-al-ahly-capital-holding-al-ahly-tamkeen-cairo-egypt
Procurement Analyst,Guillam,posted 2 days ago,Full Time,"San Stefano, Alexandria","Accounting/Finance, Operations/Management, Business English, Strong communication skills, Microsoft Office",http://wuzzuf.net/jobs/p/zav5d9coyr5v-procurement-analyst-guillam-alexandria-egypt
Research Analyst,IdealRatings,posted 4 days ago,Full Time,"Heliopolis, Cairo","Accounting/Finance, Analyst/Research, Research, Analysis, Accounting, Financial Services, Research Analysis",http://wuzzuf.net/jobs/p/qvocbe4bzb5p-research-analyst-idealratings-cairo-egypt
Q.C Professional Finished Product Analyst,APEX Pharma,posted 8 days ago,Full Time,"Badr City, Cairo","R&D/Science, Quality, Pharmaceutical, Quality Control, Science, Pharmaceutical, Pharma, Q.C, Pharmaceuticals, Pharmacy, quality, Quality Assurance",http://wuzzuf.net/jobs/p/hhurhxhlubmp-qc-professional-finished-product-analyst-apex-pharma-cairo-egypt
Data Analyst,HIGHBASE TRADING W.L.L,posted 2 months ago,Full Time,"Cairo, Egypt","IT/Software Development, Data Analysis, SQL, Excel, Power BI, Python",http://wuzzuf.net/jobs/p/l2cctgjsulvx-data-analyst-highbase-trading-w-l-l-cairo-egypt
FP & A Analyst /senior Analyst,Dabur,posted 20 days ago,Full Time,"New Cairo, Cairo","Accounting/Finance, Business Development, Analyst/Research, Finance, Financial Analysis, Financial Planning, Financial Management, Financial, Accounting, Planning",http://wuzzuf.net/jobs/p/nasbnwgpsyej-fp-a-analyst-senior-analyst-dabur-cairo-egypt
Economic Research Analyst,ITIDA,posted 17 days ago,Full Time,"Smart Village, Giza","Analyst/Research, Analysis, Market Research, Research",http://wuzzuf.net/jobs/p/dnph9znjld1g-economic-research-analyst-itida-giza-egypt
Financial Analyst,Cultiv,posted 1 month ago,Full Time,"Heliopolis, Cairo","Accounting/Finance, Analyst/Research, Financial Analysis, Finance, Analysis, Financial, Excel, Computer Skills, Analytical, Data, Communication, English, Commerce, business",http://wuzzuf.net/jobs/p/07dpy4g27a0o-financial-analyst-cultiv-cairo-egypt
Budgeting & Reporting Analyst – FMCG/Retail,Bim Stores,posted 22 days ago,Full Time,"6th of October, Giza","Accounting/Finance, Accounting, Analysis, Finance, Financial, Financial Analysis, Reporting, Planning, SAP, ERP, Role Overview We are seeking a detail-oriented and analytically-minded Reporting and Budget Specialist to join our finance team. The successful candidate will be responsible for preparing accurate financial reports, managing the annual budgeting process,",http://wuzzuf.net/jobs/p/bitqm8zumo4t-budgeting-reporting-analyst-fmcgretail-bim-stores-giza-egypt
